session_id,lap_number,timestamp_iso,duration_s,avg_speed_mps,max_speed_mps,distance_m
2026-05-24T11-37-34,1,2026-05-24T11:47:38,115.700,5.641,5.872,652.72
2026-05-24T11-37-34,2,2026-05-24T11:57:48,113.200,5.759,5.885,651.92
2026-05-24T11-37-34,3,2026-05-24T12:11:52,114.600,5.691,5.911,652.20
2026-05-24T11-37-34,4,2026-05-24T12:23:27,113.800,5.727,5.897,651.77
2026-05-24T11-37-34,5,2026-05-24T12:33:07,114.800,5.684,5.930,652.52
2026-05-24T11-37-34,6,2026-05-24T12:47:32,114.200,5.713,5.906,652.43
2026-05-24T11-37-34,7,2026-05-24T13:01:28,114.000,5.717,5.916,651.75
2026-05-24T11-37-34,8,2026-05-24T13:14:21,113.800,5.732,5.896,652.34
2026-05-24T11-37-34,9,2026-05-24T13:25:46,115.100,5.672,5.909,652.83
2026-05-24T11-37-34,10,2026-05-24T13:37:27,113.900,5.727,5.901,652.29
2026-05-24T11-37-34,11,2026-05-24T13:43:56,114.100,5.713,5.914,651.88
2026-05-24T11-37-34,12,2026-05-24T13:51:58,114.100,5.713,5.922,651.82
2026-05-24T11-37-34,13,2026-05-24T14:04:09,112.900,5.774,5.876,651.84
2026-05-24T11-37-34,14,2026-05-24T14:15:23,114.400,5.701,5.931,652.24
2026-05-24T11-37-34,15,2026-05-24T14:20:07,114.600,5.695,5.957,652.66
2026-05-24T11-37-34,16,2026-05-24T14:24:31,115.500,5.660,6.033,653.75
2026-05-24T11-37-34,17,2026-05-24T14:29:34,114.800,5.686,5.982,652.72
2026-05-24T11-37-34,18,2026-05-24T14:35:21,114.700,5.692,5.963,652.91
2026-05-24T11-37-34,19,2026-05-24T14:42:36,112.700,5.787,5.887,652.23
2026-05-24T11-37-34,20,2026-05-24T14:51:37,114.000,5.728,5.915,652.99
