X-axis,Y-axis
-69.921294,-43.272123
-65.605039,-43.272771
-61.288599,-43.242914
-56.972090,-43.225129
-52.655554,-43.215390
-48.339010,-43.211290
-44.022463,-43.210476
-39.705916,-43.210686
-35.389370,-43.210721
-31.072823,-43.209889
-26.756277,-43.207511
-22.439733,-43.202933
-18.123190,-43.196560
-13.806649,-43.190130
-9.490104,-43.185468
-5.173558,-43.184393
-0.857014,-43.188720
3.459517,-43.200308
7.776013,-43.220945
12.092443,-43.252496
16.408133,-43.237524
19.189562,-40.482925
20.970580,-36.565543
23.854866,-33.377461
27.570844,-31.216904
31.790838,-30.438653
36.105879,-30.544848
40.419987,-30.689857
44.735384,-30.785912
49.051682,-30.763158
53.364486,-30.589708
57.667822,-30.254952
61.962386,-29.820184
66.253917,-29.356313
70.528121,-28.757200
74.748469,-27.856525
78.925551,-26.768226
83.105055,-25.689196
87.272605,-24.565376
91.381766,-23.248051
93.046089,-19.880321
90.669502,-16.283644
88.291525,-12.682480
86.085606,-8.995791
87.354507,-5.110962
90.562323,-2.223306
93.776483,0.657814
96.975774,3.555182
99.990812,6.643083
102.924248,9.757327
102.916019,14.025660
102.309536,18.299327
101.657439,22.566331
100.932628,26.821187
99.844853,30.995372
98.211122,34.988604
96.398638,38.906183
94.634809,42.845747
93.056714,46.862638
91.819791,50.996184
90.878572,55.202455
87.071069,56.220024
82.858258,57.105636
78.805327,58.531072
75.477593,61.270235
72.098152,63.948933
68.264361,65.914949
64.119334,67.097044
59.828505,67.507176
55.538494,67.099483
51.422150,65.827211
47.654629,63.733424
44.090151,61.298956
40.535746,58.849716
36.983262,56.397690
33.420324,53.960907
29.822973,51.575309
26.196275,49.234494
24.220914,45.910378
26.215010,42.101507
26.810797,37.865201
24.997133,33.960471
22.579477,30.385062
20.114840,26.841334
17.661664,23.289647
15.161737,19.770905
12.427491,16.433525
9.322009,13.439283
5.913253,10.793540
2.278650,8.468237
-1.590087,6.560126
-5.656764,5.118043
-9.830327,4.021423
-14.091841,3.350517
-18.403671,3.215945
-22.711604,3.478140
-27.015896,3.802476
-31.324420,4.065226
-35.633549,4.317408
-39.583593,5.774034
-42.286722,9.133238
-44.942050,12.535577
-47.724387,15.758960
-52.012547,16.104359
-56.315233,16.449352
-60.613648,16.844546
-64.917124,17.178032
-69.227588,17.405419
-73.528682,17.752564
-77.843590,17.830825
-82.106739,17.194055
-86.229607,15.930632
-90.043981,13.914907
-93.828048,11.838039
-97.613345,9.763407
-101.389259,7.671763
-105.142871,5.540420
-108.853843,3.335809
-112.507470,1.037372
-116.129563,-1.310598
-119.398898,-3.996046
-117.689916,-7.934914
-115.893547,-11.859903
-114.085640,-15.779600
-112.319851,-19.718402
-110.585200,-23.671064
-108.676100,-27.529466
-105.129696,-29.839395
-100.857932,-29.891008
-96.702595,-28.723847
-92.555051,-27.527886
-88.398569,-26.363488
-84.221480,-25.275439
-80.019871,-24.293800
-77.999225,-27.220880
-78.255185,-31.529803
-78.559433,-35.835018
-77.450400,-39.931193
-74.163900,-42.621306
-69.921294,-43.272123
