X-axis,Y-axis
-69.921130,-42.177257
-65.608802,-42.160540
-61.294844,-42.111314
-56.975750,-42.077258
-52.657411,-42.057243
-48.339671,-42.049723
-44.022544,-42.051678
-39.705883,-42.059267
-35.389475,-42.069437
-31.073243,-42.079938
-26.757178,-42.089250
-22.441136,-42.096819
-18.124810,-42.104078
-13.808031,-42.114513
-9.490804,-42.132017
-5.173172,-42.160294
-0.855196,-42.202321
3.463027,-42.259894
7.781380,-42.333148
12.094041,-42.420487
16.125235,-42.512589
18.584558,-40.069210
20.382232,-36.179246
23.414977,-32.834634
27.319151,-30.537232
31.728979,-29.653055
36.131843,-29.652954
40.448990,-29.651605
44.745789,-29.560643
49.018783,-29.316249
53.264579,-28.895883
57.492770,-28.299090
61.729588,-27.595907
65.945681,-26.872483
70.049728,-26.047660
74.063475,-24.964486
78.132974,-23.712281
82.262518,-22.496651
86.309283,-21.299228
89.195625,-20.554027
89.564617,-20.236378
87.746231,-18.214623
85.337260,-14.540646
82.642726,-9.421867
84.476399,-3.208488
88.262910,0.336470
91.468565,3.219336
94.565129,6.058084
97.447520,9.082353
99.582722,11.081344
99.241830,13.761253
98.561294,17.746974
97.802252,21.943434
96.993940,25.974209
95.902688,29.681783
94.286139,33.278749
92.390462,37.081793
90.466681,41.095022
88.679724,45.350902
87.241369,49.800420
87.309386,51.957893
85.938862,51.448720
81.519732,52.318236
76.337050,54.156695
72.300621,57.337224
69.355056,59.688909
66.410420,61.216176
63.191093,62.179083
59.827106,62.584576
56.479181,62.392393
53.241524,61.565937
49.976705,59.973596
46.440649,57.872682
42.716095,55.688186
38.951871,53.532477
35.132638,51.418457
31.252993,49.389606
27.705561,47.741959
25.826348,45.914595
27.233345,42.429327
27.331254,37.787342
24.984923,33.967378
22.134455,30.690257
19.260633,27.433383
16.431043,24.151744
13.635920,20.935760
10.749910,17.980777
7.631241,15.392136
4.288970,13.094949
0.814527,11.063261
-2.783657,9.387268
-6.564685,8.065014
-10.450717,6.982078
-14.362627,6.232706
-18.363742,5.912776
-22.546032,5.909285
-26.871708,5.917776
-31.219745,5.817019
-35.360175,5.638706
-39.048696,6.513006
-41.931728,9.414567
-44.957271,12.523085
-47.948528,15.314889
-52.090495,15.134423
-56.438763,15.013917
-60.773702,14.955152
-65.068944,14.846369
-69.411368,14.650771
-73.684934,14.587905
-77.612269,14.278003
-81.236728,13.354482
-84.588346,11.957928
-87.841823,9.826309
-91.437468,7.479333
-95.067079,5.142289
-98.672954,2.828629
-102.232841,0.530643
-105.729299,-1.774289
-109.207335,-4.130246
-112.466802,-6.325412
-113.347244,-5.421509
-112.074947,-5.432016
-110.443138,-9.355688
-108.833068,-13.390964
-107.320801,-17.500958
-105.960404,-21.513662
-105.165497,-24.424557
-103.905091,-25.785193
-101.352236,-26.156925
-97.605944,-25.549910
-93.335115,-24.783527
-89.035689,-24.006281
-84.720001,-23.257283
-79.490859,-22.601821
-76.514991,-26.858911
-76.914555,-31.616989
-77.349330,-35.719100
-76.496251,-39.313183
-73.718803,-41.618237
-69.921130,-42.177257
