X-axis,Y-axis
125.809628,0.000000
123.722962,14.261662
117.891063,27.455645
109.234123,39.011060
98.625372,48.818456
86.697499,56.980007
73.871734,63.648907
60.427646,68.967163
46.556857,73.048896
32.397336,75.979220
18.054658,77.817123
3.615633,78.598539
-10.842220,78.338480
-25.243151,77.031968
-39.506017,74.653724
-53.536005,71.156624
-67.213424,66.469031
-80.376797,60.491583
-92.795897,53.095521
-104.128405,44.129328
-113.856048,33.452758
-121.221491,21.041371
-125.280240,7.205789
-125.280240,-7.205789
-121.221491,-21.041371
-113.856048,-33.452758
-104.128405,-44.129328
-92.795897,-53.095521
-80.376797,-60.491583
-67.213424,-66.469031
-53.536005,-71.156624
-39.506017,-74.653724
-25.243151,-77.031968
-10.842220,-78.338480
3.615633,-78.598539
18.054658,-77.817123
32.397336,-75.979220
46.556857,-73.048896
60.427646,-68.967163
73.871734,-63.648907
86.697499,-56.980007
98.625372,-48.818456
109.234123,-39.011060
117.891063,-27.455645
123.722962,-14.261662
125.809628,0.000000
