X-axis,Y-axis
122.982480,-0.413648
121.001360,13.476717
115.487862,26.048759
107.216419,37.191427
96.983237,46.758893
85.391113,54.799506
72.855724,61.422322
59.660227,66.737164
46.002951,70.834686
32.029857,73.782606
17.855364,75.627229
3.575896,76.396055
-10.720705,76.099967
-24.947810,74.734501
-39.013092,72.280034
-52.810586,68.700882
-66.209933,63.943538
-79.040247,57.934868
-91.064918,50.582815
-101.943150,41.786389
-111.178967,31.470791
-118.083792,19.675664
-121.845896,6.712319
-121.845896,-6.712319
-118.083792,-19.675664
-111.178967,-31.470791
-101.943150,-41.786389
-91.064918,-50.582815
-79.040247,-57.934868
-66.209933,-63.943538
-52.810586,-68.700882
-39.013092,-72.280034
-24.947810,-74.734501
-10.720705,-76.099967
3.575896,-76.396055
17.855364,-75.627229
32.029857,-73.782606
46.002951,-70.834686
59.660227,-66.737164
72.855724,-61.422322
85.391113,-54.799506
96.983237,-46.758893
107.216419,-37.191427
115.487862,-26.048759
121.001360,-13.476717
122.982480,-0.413648
