X-axis,Y-axis
100.255053,-0.238796
99.252697,13.949057
96.311380,27.616844
91.485798,40.732102
84.877212,53.037168
76.621634,64.293185
66.885838,74.284249
55.863232,82.820647
43.769814,89.741418
30.840235,94.916483
17.323866,98.248526
3.480715,99.674638
-10.422940,99.167652
-24.119243,96.737002
-37.343723,92.428958
-49.840400,86.326105
-61.366865,78.546005
-71.699159,69.239073
-80.636293,58.585696
-88.004288,46.792710
-93.659657,34.089327
-97.492240,20.722615
-99.427380,6.952640
-99.427380,-6.952640
-97.492240,-20.722615
-93.659657,-34.089327
-88.004288,-46.792710
-80.636293,-58.585696
-71.699159,-69.239073
-61.366865,-78.546005
-49.840400,-86.326105
-37.343723,-92.428958
-24.119243,-96.737002
-10.422940,-99.167652
3.480715,-99.674638
17.323866,-98.248526
30.840235,-94.916483
43.769814,-89.741418
55.863232,-82.820647
66.885838,-74.284249
76.621634,-64.293185
84.877212,-53.037168
91.485798,-40.732102
96.311380,-27.616844
99.252697,-13.949057
100.255053,-0.238796
